epoch,train_loss,train_token_acc,val_loss,val_token_acc,val_exact_match,lr
1,4.6229050080498455,0.4476464321607716,3.344581870537884,0.4902469487685078,0.00783675883483661,1e-05
2,3.9730503581671375,0.5044153364081132,2.795661507912402,0.5333481543468979,0.0761496377347331,2e-05
3,3.554471520824872,0.5458601775041069,2.3164246644613877,0.5740064908311052,0.1498595297944699,3e-05
4,3.240128740906222,0.5829009432048222,1.9809968814534962,0.6060347104409955,0.2095224013011977,4e-05
5,3.0242610096156,0.6095465786847611,1.7389234186343427,0.6302805722884413,0.2550643205677954,5e-05
6,2.8756311400834798,0.6308285155146873,1.576263593052918,0.6488173019211247,0.2899600768889546,4.993910125649561e-05
7,2.776654599616684,0.6460603972569786,1.4973846330957592,0.6572279508383769,0.31199171965104244,4.975670171853926e-05
8,2.70736338202591,0.6581486646132241,1.399731139529426,0.6700445616020346,0.33062250480555966,4.9453690018345144e-05
9,2.654173227402672,0.6680156513123312,1.3490860687111907,0.6779733972167069,0.34747892946917047,4.9031542398457974e-05
10,2.6110410746704678,0.6771522087503791,1.3088380789981697,0.684754453458876,0.3593079994085465,4.849231551964771e-05
11,2.575510037995738,0.6849072586496083,1.2812281593961536,0.690502515097834,0.3724678397161023,4.783863644106502e-05
12,2.5444568413238704,0.6916056271490438,1.2497058319595624,0.6962066897243824,0.3830400709744196,4.707368982147318e-05
13,2.514858669955515,0.6985974688279001,1.226175382171037,0.7007633048408436,0.3910246931834985,4.620120240391065e-05
14,2.4882094609109977,0.7041129783227696,1.2052045875000503,0.7046379312029425,0.39819606683424513,4.522542485937369e-05
15,2.464458158917148,0.7102445579012211,1.1980528564385649,0.7051933674879793,0.40218837793878454,4.415111107797445e-05
16,2.4419251473819905,0.7154914097698535,1.171534076051892,0.7099146736118028,0.40906402484104687,4.2983495008466276e-05
17,2.419882412988853,0.7202396689611804,1.161665825630134,0.7125473573522748,0.4162353984917936,4.172826515897146e-05
18,2.4009824862217917,0.7250574337597221,1.1483014211902078,0.7166950320297817,0.4231110453940559,4.039153688314145e-05
19,2.3828626038547385,0.7297755252461966,1.1433084702716683,0.7190969440172303,0.4273251515599586,3.897982258676867e-05
20,2.3655032629377386,0.7339347265021889,1.1379776102191996,0.7199101535216818,0.4289516486766228,3.7500000000000003e-05
21,2.367154009873736,0.7335238700995849,1.1302583990794308,0.7185049779572577,0.4276948099955641,4.986304738420684e-06
22,2.348609240079053,0.7387881193691143,1.125153268564422,0.7222289606085364,0.4345704568978264,4.9453690018345144e-06
23,2.3306964559008003,0.7430536463231042,1.1234312065929737,0.7221477385961784,0.4342007984622209,4.8776412907378845e-06
24,2.3133309646022173,0.7482851918176531,1.1125097080784023,0.7252397894297006,0.4412243087387254,4.783863644106502e-06
25,2.2981453528423974,0.7527683706483779,1.095806991435447,0.7267525685283373,0.4432204642909951,4.665063509461098e-06
26,2.283261026030529,0.7564956791156993,1.0987736743013814,0.7285074136167202,0.4463255951500813,4.522542485937369e-06
27,2.268928204676867,0.7601345549455978,1.085777367342193,0.7306262516188171,0.4509093597515895,4.357862063693486e-06
28,2.2536751444984087,0.7648648823738662,1.0895518514345277,0.7302720150295293,0.4503918379417418,4.172826515897146e-06
29,2.2394314152048156,0.7685987498194843,1.0848966775075444,0.7328396279294536,0.45512346591749225,3.969463130731183e-06
30,2.2249447657186416,0.7722431885850705,1.0854500298792462,0.7321695421101913,0.45431021735916016,3.7500000000000005e-06
31,2.213568211236274,0.7758946565747049,1.0756357292521674,0.7357523955826489,0.46236877125536,3.516841607689501e-06
32,2.1999687849594105,0.7792347741155212,1.0774089320088334,0.7336219692567609,0.45771107496673075,3.272542485937369e-06
33,2.1867897205279467,0.7837092063611671,1.0794363735981707,0.7346747211127911,0.45963329883187937,3.019779227044398e-06
34,2.1757041982191683,0.787293417259196,1.073259303592286,0.7364460477289164,0.4632559515008132,2.761321158169134e-06
35,2.1647369795336235,0.7906484911950786,1.0710336858371519,0.7377543859886673,0.4663610823598994,2.5e-06
36,2.152170909148994,0.7937091316858176,1.0689013850576472,0.7376245299600205,0.46539997042732517,2.238678841830867e-06
37,2.142428205747847,0.7971551733775508,1.0684090338225634,0.7389290805132884,0.46828330622504805,1.9802207729556023e-06
38,2.1331943107172977,0.7993962817964717,1.066748856654707,0.7395804465379355,0.46968800828034896,1.7274575140626318e-06
39,2.1238591687204145,0.8031414833948641,1.0679132274861605,0.7388821789678538,0.46931834984474347,1.4831583923105e-06
40,2.1165453521969897,0.805419478030123,1.065081092265417,0.7407947756209463,0.47190595889398196,1.2500000000000007e-06
41,2.1083469974578732,0.8087805728810838,1.0672492573283754,0.7406816417878529,0.4716102321454976,1.0305368692688175e-06
42,2.101505429698193,0.8102527617844233,1.0667254997874207,0.7415611145069014,0.4742717728818572,8.271734841028553e-07
43,2.095269247034751,0.812678463320842,1.0660610272074647,0.7414705171337668,0.47404997782049385,6.421379363065142e-07
44,2.0900711614235417,0.8138805124831581,1.0659687246354121,0.741731862695712,0.47464143131746267,4.774575140626317e-07
45,2.0865346901096724,0.8154777841480578,1.0674295118957196,0.740667426080074,0.47220168564246634,3.3493649053890325e-07
46,2.0841516234478537,0.8169269709104903,1.0652179009509537,0.7417669355306985,0.47441963625609934,2.1613635589349756e-07
47,2.0817220913877437,0.8169053860629966,1.0653028401001445,0.7417249822953962,0.47464143131746267,1.223587092621162e-07
48,2.080069453528758,0.817585155746769,1.066107450791125,0.7420807008473378,0.4752328848144315,5.463099816548578e-08
49,2.0780622610180144,0.8186352039708815,1.0655846511417966,0.742049256585679,0.47538074818867365,1.3695261579316776e-08
50,2.076830466846825,0.8183357430449045,1.065598433310131,0.7421514698356952,0.47545467987579476,5e-13
